T(C)	R_c(Ohm)	I_diodo(nA)
24.1	93.3	0.01
24.6	93.5	0.01
24.9	93.6	0.01
25.3	93.8	0.01
26	94.1	0.011
26.7	94.3	0.011
27.3	94.5	0.011
27.8	94.7	0.012
28.3	94.8	0.012
30.2	95.4	0.012
32.2	96.1	0.014
35.5	97.3	0.016
36.7	97.7	0.017
37.4	98	0.017
37.8	98.1	0.017
38.5	98.4	0.018
39	98.6	0.018
40	99	0.019
41.2	99.4	0.02
42.8	100	0.023
44.6	100.6	0.025
45	100.7	0.025
45.8	101	0.026
46.6	101.3	0.028
47.5	101.6	0.03
48.3	101.85	0.031
49.5	102.3	0.034
50.3	102.6	0.035
51	102.8	0.036
51.7	103	0.038
52.7	103.4	0.041
53.3	103.6	0.042
54.1	103.9	0.045
54.6	104.1	0.046
55.2	104.25	0.047
56	104.6	0.05
56.8	104.8	0.052
57.8	105.2	56
58.5	105.5	59
59.1	105.7	61
59.7	105.9	64
60.5	106.1	66
61.2	106.4	70
62.5	106.8	74
63.2	107.1	80
64.3	107.4	83
65	107.7	88
65.5	107.9	90
66	108.1	92
66.6	108.3	96
67	108.5	98
67.5	108.7	101
68	108.9	104
68.5	109	109
69	109.1	110
69.7	109.5	115
70.2	109.7	120
71	109.9	125
71.5	110.1	129
72	110.3	133
72.5	110.45	138
73	110.6	143
73.5	110.9	147
74	110	149
74.5	111.2	152
75	111.4	157
76.1	111.8	168
77	112.1	175
77.5	112.3	180
78	112.5	184
79	112.9	193
80	113.3	200
